Value,Country,Region,Species,,DEV
46.7,Burkina_Faso,SAHEL,Low,,
53.8,Burkina_Faso,EST,Low,,
67.9,Burkina_Faso,SUD-OUEST,Mid,,
69,Burkina_Faso,CASCADES,Mid,,
70.1,Burkina_Faso,BOUCLE DU MOUHOUN,Mid,,
71.5,Burkina_Faso,CENTRE-NORD,Mid,,
74.3,Burkina_Faso,National,Avg,,12.03767046
75,Burkina_Faso,CENTRE-EST,Mid,,
77.8,Burkina_Faso,CENTRE-SUD,Mid,,
80.3,Burkina_Faso,HAUTS-BASSINS,Mid,,
82.9,Burkina_Faso,PLATEAU CENTRAL,Mid,,
83.2,Burkina_Faso,CENTRE,Mid,,
85.5,Burkina_Faso,CENTRE-OUEST,Mid,,
95,Burkina_Faso,NORD,High,,
82.03,Cabo_Verde,Ribeira Grande Santiago,Low,,
92.82,Cabo_Verde,Boa Vista,Mid,,
93.13,Cabo_Verde,Mosteiros,Mid,,
93.36,Cabo_Verde,Sal,Mid,,
95.41,Cabo_Verde,Santa Catarina Fogo,Mid,,
96.75,Cabo_Verde,S?o Salvador do Mundo,Mid,,
96.97,Cabo_Verde,Paul,Mid,,
98.51,Cabo_Verde,Tarrafal,Mid,,
98.83,Cabo_Verde,Maio,Mid,,
100.82,Cabo_Verde,Ribeira Grande,Mid,,
103.47,Cabo_Verde,Porto Novo,Mid,,
104.63,Cabo_Verde,Santa Cruz,Mid,,
104.68,Cabo_Verde,Praia,Mid,,
104.7,Cabo_Verde,S?o Vicente,Mid,,
106.61,Cabo_Verde,Brava,Mid,,
107.32,Cabo_Verde,Santa Catarina,Mid,,
109.54,Cabo_Verde,S?o Miguel,High,,
110.19,Cabo_Verde,S?o Filipe,High,,
112.06,Cabo_Verde,Tarrafal S?o Nicolau,High,,
112.83,Cabo_Verde,S?o Louren?o dos ?rg?os,High,,
114.69,Cabo_Verde,S?o Domingos,High,,
116.46,Cabo_Verde,Ribeira Brava,High,,
103.47,Cabo_Verde,National,Avg,,8.354708736
60.2,Gambia,central river,Low,,
87.9,Gambia,lower river,Mid,,
89.3,Gambia,National,Avg,,11.66335619
93.4,Gambia,upper river,Mid,,
93.8,Gambia,north bank,Mid,,
94.4,Gambia,western,Mid,,
96.6,Gambia,Banjul,Mid,,
77.5,Ghana,EASTERN Region,Low,,
84.2,Ghana,ASHANTI,Mid,,
86.3,Ghana,GREATER ACCRA,Mid,,
87.8,Ghana,VOLTA,Mid,,
89.3,Ghana,National,Avg,,7.21958997
91.2,Ghana,BRONG AHAFO,Mid,,
91.2,Ghana,WESTERN Region,Mid,,
92.7,Ghana,NORTHERN,Mid,,
98,Ghana,UPPER EAST Region,Mid,,
100.7,Ghana,CENTRAL Region,Mid,,
103.8,Ghana,UPPER WEST Region,Mid,,
59.8,Guinea,KANKAN,Mid,,
63.9,Guinea,FARANAH,Mid,,
65,Guinea,LABE,Mid,,
69.2,Guinea,MAMOU,Mid,,
72.6,Guinea,BOKE,Mid,,
73.6,Guinea,NZEREKORE,Mid,,
74.3,Guinea,National,Avg,,11.57751119
80.6,Guinea,KINDIA,Mid,,
101.5,Guinea,CONAKRY,High,,
14.7,Liberia,River Cess,Mid,,
17.6,Liberia,Bong,Mid,,
17.7,Liberia,Grand Bassa,Mid,,
19.2,Liberia,Gbarpolu,Mid,,
19.8,Liberia,Grand Gedeh,Mid,,
20.5,Liberia,Sinoe,Mid,,
21.9,Liberia,River Gee,Mid,,
25.2,Liberia,Nimba,Mid,,
26.9,Liberia,Lofa,Mid,,
27.1,Liberia,Maryland,Mid,,
29.1,Liberia,Grand Cape Mount,Mid,,
31.7,Liberia,Montserrado,Mid,,
35.6,Liberia,Margibi,Mid,,
36.1,Liberia,Bomi,Mid,,
36.2,Liberia,Grand Kru,Mid,,
26.7,Liberia,National,Avg,,6.996272023
43,Niger,Diffa,Low,,
43.2,Niger,Zinder,Low,,
51.1,Niger,Tahoua,Mid,,
53.2,Niger,Tillab?ri,Mid,,
55.8,Niger,National,Avg,,9.24208276
57.5,Niger,Maradi,Mid,,
65.9,Niger,Dosso,Mid,,
71,Niger,Agadez,Mid,,
60,Sierra_Leone,Northern,Mid,,
64,Sierra_Leone,Southern,Mid,,
65.4,Sierra_Leone,National,Avg,,5.281287722
67.7,Sierra_Leone,Eastern,Mid,,
75.9,Sierra_Leone,Western,Mid,,
84.41,Togo,Centrale,Mid,,
87.6,Togo,Savanes,Mid,,
93.18,Togo,Plateaux,Mid,,
93.2,Togo,Maritime,Mid,,
97.41,Togo,Kara,Mid,,
98.36,Togo,Golfe-Lom?,Mid,,
92.93,Togo,National,Avg,,4.978965756
